Customer_id,Customer_description
0,"Gender: Male, Age range: 20 - 25, Preffered watch type: Digital;Dress;Field, Preffered watch brand: Casio;Timex, Analog or Digital: Digital, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Nato, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Backlight"
1,"Gender: Female, Age range: 20 - 25, Preffered watch type: Formal, Preffered watch brand: Daniel Wellignton, Analog or Digital: Analog, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Automatic (mechanical but automatically wounds), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date"
2,"Gender: Male, Age range: 20 - 25, Preffered watch type: Dress, Preffered watch brand: Omega, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date;Chronograph/timer"
3,"Gender: Male, Age range: 20 - 25, Preffered watch type: Formal, Preffered watch brand: Casio, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Steel;Rubber or Silicon, Prefferd water resistence rating: 10 BAR / 10 ATM / 100m / 330f  (suitable for swimming and light water sports), Budget allocated for a watch: $50 - $100, Prefferd additional features in a watch: Date;Chronograph/timer"
4,"Gender: Male, Age range: 20 - 25, Preffered watch type: Dress, Preffered watch brand: Citizen, Analog or Digital: Analog;Both in one, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Steel;Canvas, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date;Chronograph/timer;Backlight"
5,"Gender: Male, Age range: 20 - 25, Preffered watch type: Sports, Preffered watch brand: Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Acrylic glass (type of plastic - prone to scratches), Preffered watch strap type: , Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Backlight"
6,"Gender: Female, Age range: 16 - 19, Preffered watch type: Dress, Preffered watch brand: Tissot;Daniel Wellignton, Analog or Digital: Analog, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Milanese, Prefferd water resistence rating: 10 BAR / 10 ATM / 100m / 330f  (suitable for swimming and light water sports), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date"
7,"Gender: Female, Age range: 20 - 25, Preffered watch type: Dress;Field;Sports, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Seiko;Citizen;Not a specific brand, Analog or Digital: Analog;Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both);Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Canvas, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date"
8,"Gender: Female, Age range: 20 - 25, Preffered watch type: Dress, Preffered watch brand: Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Acrylic glass (type of plastic - prone to scratches), Preffered watch strap type: Leather, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date;Chronograph/timer;Backlight"
9,"Gender: Male, Age range: 20 - 25, Preffered watch type: Formal, Preffered watch brand: Not a specific brand, Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel;Rubber or Silicon, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date;Alarm"
10,"Gender: Male, Age range: 20 - 25, Preffered watch type: Digital;Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Seiko;Omega, Analog or Digital: Digital, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both);Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Steel, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: $100 - $200, Prefferd additional features in a watch: Date;Chronograph/timer;Alarm;Backlight"
11,"Gender: Female, Age range: 20 - 25, Preffered watch type: Dress, Preffered watch brand: Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Mechanical (manually wound ), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Milanese, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date"
12,"Gender: Male, Age range: 16 - 19, Preffered watch type: Sports, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Not a specific brand, Analog or Digital: Both in one, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date;Chronograph/timer"
13,"Gender: Female, Age range: 16 - 19, Preffered watch type: Sports, Preffered watch brand: Casio (g-shock,  edifice , pro-tek), Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Leather;Rubber or Silicon, Prefferd water resistence rating: 20 BAR / 20 ATM / 200m / 660ft  (suitable for water sports and scuba diving), Budget allocated for a watch: $50 - $100, Prefferd additional features in a watch: Date;Chronograph/timer;Alarm;Backlight"
14,"Gender: , Age range: 20 - 25, Preffered watch type: Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Citizen, Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Steel, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date"
15,"Gender: Female, Age range: 16 - 19, Preffered watch type: Dress, Preffered watch brand: Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Milanese, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Alarm;Backlight"
16,"Gender: Female, Age range: 20 - 25, Preffered watch type: Dress;Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Timex;Tissot, Analog or Digital: Analog, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Acrylic glass (type of plastic - prone to scratches), Preffered watch strap type: Steel, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date;Chronograph/timer"
17,"Gender: Female, Age range: 16 - 19, Preffered watch type: Dress, Preffered watch brand: Orient;Omega;Citizen, Analog or Digital: Analog, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Rubber or Silicon;Milanese, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Chronograph/timer;Alarm;Backlight"
